seed,leak_type,detected,contained,purged,rollback_success,closure_verified,invalid_state_released,detection_ms,containment_ms,purge_ms,rollback_ms,total_closure_ms,rss_before_bytes,rss_after_bytes,rss_residual_bytes,threads_before,threads_after,worker_thread_leak,baseline_accuracy,post_closure_accuracy,accuracy_delta_after_closure,protected_mode_entered,homeostasis_restored,electrical_energy_measured,direct_cost_measured,A_DMIC_milieu_interior_preserved
1973,protected_test_access_attempt,True,True,True,True,True,False,0.003326000296510756,0.0018580003597890027,147.3779279995142,0.008908000381779857,147.3920200005523,295890944,295890944,0,30,30,False,0.6446351661388777,0.6357475725653475,-0.008887593573530195,True,True,False,False,True
1999,unauthorised_memory_write,True,True,True,True,True,False,0.004467000508157071,0.0021080004444229417,146.62724199934019,0.00834399997984292,146.6421610002726,295890944,295890944,0,30,30,False,0.6565500112360722,0.6497916978562593,-0.006758313379812808,True,True,False,False,True
1999,stale_cache_persistence,True,True,True,True,True,False,0.0038309999581542797,0.0019029994291486219,149.9142460006624,0.011143999472551513,149.93112399952224,295890944,295890944,0,30,30,False,0.6565500112360722,0.6540757506015462,-0.0024742606345259377,True,True,False,False,True
1999,orphan_worker,True,True,True,True,True,False,0.003592999746615533,0.002093999682983849,155.3601659998094,0.008991999493446201,155.37484499873244,295890944,295890944,0,30,30,False,0.6565500112360722,0.6541718232931382,-0.0023781879429339847,True,True,False,False,True
1999,schema_escape,True,True,True,True,True,False,0.0032879997888812795,0.002087999746436253,148.74933499959297,0.00851500044518616,148.76322599957348,295890944,295890944,0,30,30,False,0.6565500112360722,0.6541718232931382,-0.0023781879429339847,True,True,False,False,True
1999,cross_context_identifier,True,True,True,True,True,False,0.0034169997888966464,0.001977000465558376,148.8779719993545,0.008317999345308635,148.89168399895425,295890944,295890944,0,30,30,False,0.6565500112360722,0.6556694666884443,-0.0008805445476278706,True,True,False,False,True
1999,recursive_correction_loop,True,True,True,True,True,False,0.003660000402305741,0.0019150002117385156,146.85008800006472,0.007110000296961516,146.86277300097572,295890944,295890944,0,30,30,False,0.6565500112360722,0.6497916978562593,-0.006758313379812808,True,True,False,False,True
1999,protected_test_access_attempt,True,True,True,True,True,False,0.00315100078296382,0.002293000761710573,144.87118200031546,0.006519000635307748,144.88314500249544,295890944,295890944,0,30,30,False,0.6565500112360722,0.6526824880837715,-0.003867523152300656,True,True,False,False,True
2011,unauthorised_memory_write,True,True,True,True,True,False,0.005563999366131611,0.0024900000425986946,147.23676499943394,0.007216999620140996,147.25203599846282,295890944,295890944,0,30,30,False,0.6698000000735242,0.6600664337386337,-0.009733566334890531,True,True,False,False,True
2011,stale_cache_persistence,True,True,True,True,True,False,0.0033490005080238916,0.0018339997041039169,149.58759599994664,0.008814000466372818,149.60159300062514,295890944,295890944,0,30,30,False,0.6698000000735242,0.6692610871982708,-0.0005389128752534278,True,True,False,False,True
2011,orphan_worker,True,True,True,True,True,False,0.003453000317676924,0.0023610000425833277,147.66978199986625,0.007433999599015806,147.68302999982552,295890944,295890944,0,30,30,False,0.6698000000735242,0.6630416866937114,-0.006758313379812808,True,True,False,False,True
2011,schema_escape,True,True,True,True,True,False,0.00299400016956497,0.0018250002540298738,144.10891399984394,0.0069150000854278915,144.12064800035296,295890944,295890944,0,30,30,False,0.6698000000735242,0.6630416866937114,-0.006758313379812808,True,True,False,False,True
2011,cross_context_identifier,True,True,True,True,True,False,0.0030949995561968535,0.001856000380939804,148.08579600048688,0.008506000085617416,148.09925300050963,295890944,295890944,0,30,30,False,0.6698000000735242,0.668099003565394,-0.0017009965081302703,True,True,False,False,True
2011,recursive_correction_loop,True,True,True,True,True,False,0.003287000254204031,0.0017189995560329407,153.8359770001989,0.007380000170087442,153.84836300017923,295890944,295890944,0,30,30,False,0.6698000000735242,0.6600664337386337,-0.009733566334890531,True,True,False,False,True
2011,protected_test_access_attempt,True,True,True,True,True,False,0.0036830006138188764,0.0016140002117026597,144.77613199960615,0.007093000021995977,144.78852200045367,295890944,295890944,0,30,30,False,0.6698000000735242,0.6629201814346852,-0.006879818638839019,True,True,False,False,True
2027,unauthorised_memory_write,True,True,True,True,True,False,0.004261999492882751,0.002044999746431131,142.41381600004388,0.00839099993754644,142.42851399922074,295890944,295890944,0,30,30,False,0.6106404368324614,0.6068871776872374,-0.0037532591452239528,True,True,False,False,True
2027,stale_cache_persistence,True,True,True,True,True,False,0.0035470002330839634,0.0020229999790899456,140.84094200006803,0.00821899993752595,140.85473100021773,295890944,295890944,0,30,30,False,0.6106404368324614,0.602173856083999,-0.008466580748462404,True,True,False,False,True
2027,orphan_worker,True,True,True,True,True,False,0.004301999979361426,0.002064000000245869,139.7936760004086,0.007878000360506121,139.8079200007487,295890944,295890944,0,30,30,False,0.6106404368324614,0.6037606181936224,-0.006879818638839019,True,True,False,False,True
2027,schema_escape,True,True,True,True,True,False,0.003690000085043721,0.001710999640636146,140.47044400012965,0.007561000529676676,140.483406000385,295890944,295890944,0,30,30,False,0.6106404368324614,0.6037606181936224,-0.006879818638839019,True,True,False,False,True
2027,cross_context_identifier,True,True,True,True,True,False,0.0034499998946557753,0.001856000380939804,146.31016899966198,0.008145999345288146,146.32362099928287,295890944,295890944,0,30,30,False,0.6106404368324614,0.6049747389171639,-0.005665697915297474,True,True,False,False,True
2027,recursive_correction_loop,True,True,True,True,True,False,0.0031489998946199194,0.0016940002751653083,141.11801400031254,0.007189999450929463,141.13004699993326,295890944,295890944,0,30,30,False,0.6106404368324614,0.6068871776872374,-0.0037532591452239528,True,True,False,False,True
2027,protected_test_access_attempt,True,True,True,True,True,False,0.0035809998735203408,0.0019769995560636744,147.59851599956164,0.007949999599077273,147.6120239985903,295890944,295890944,0,30,30,False,0.6106404368324614,0.6021878608515026,-0.008452575980958832,True,True,False,False,True
