function,event_week,lag,scaled_delta1,new_best_event
6,12,-4,-1.794407396188465e-05,0
6,12,-3,-0.22141137017411458,0
6,12,-2,-0.22757844798222993,0
6,12,-1,2.0722124533181683,0
6,13,-5,-1.9342512920725057e-05,1
6,13,-4,-0.23866666496611152,1
6,13,-3,-0.24531436283226876,1
6,13,-2,2.2337065840194676,1
6,13,-1,0.08480310825781237,1
7,7,-5,-1.359785144132879,0
7,7,-4,-0.940008880671334,0
7,7,-3,1.6307892080414519,0
7,7,-2,1.0,0
7,7,-1,-0.1519876904118601,0
7,8,-5,-0.9043607761183745,0
7,8,-4,1.5689445325415976,0
7,8,-3,0.9620768427980164,0
7,8,-2,-0.14622383733560473,0
7,8,-1,-1.0379231572019836,0
7,9,-5,1.6307892080414519,0
7,9,-4,1.0,0
7,9,-3,-0.1519876904118601,0
7,9,-2,-1.0788360253879332,0
7,9,-1,0.9793792722524454,0
7,10,-5,1.0104177749239989,0
7,10,-4,-0.15357106396178927,0
7,10,-3,-1.0900750962803263,0
7,10,-2,0.9895822250760011,0
7,10,-1,-0.11158619003378024,0
7,11,-5,-0.15518777527556624,0
7,11,-4,-1.1015508046303146,0
7,11,-3,1.0,0
7,11,-2,-0.1127609077913766,0
7,11,-1,-0.16165997177121857,0
7,12,-5,-1.124145758370506,0
7,12,-4,1.0205119488317873,0
7,12,-3,-0.1150738537622192,0
7,12,-2,-0.164975932840338,0
7,12,-1,0.4117668761987768,0
7,13,-5,1.0418829996084653,0
7,13,-4,-0.117483672848253,0
7,13,-3,-0.16843077630561704,0
7,13,-2,0.4203898921560829,0
7,13,-1,0.13301611874534397,0
8,7,-5,-1.0,0
8,7,-4,-1.4453152832205645,0
8,7,-3,1.718560741004682,0
8,7,-2,-0.5012468827930335,0
8,7,-1,0.06234413965085499,0
8,8,-5,-1.9254864736592696,0
8,8,-4,2.2895111532985717,0
8,8,-3,-0.6677740863787518,0
8,8,-2,0.08305647840529097,0
8,8,-1,-0.47555766492643353,0
8,9,-5,3.4285714285714195,0
8,9,-4,-1.0,0
8,9,-3,0.12437810945269674,0
8,9,-2,-0.7121535181236489,0
8,9,-1,-0.6592039800994696,0
8,10,-5,-1.1681195516812082,0
8,10,-4,0.14528850145284036,0
8,10,-3,-0.8318804483187919,0
8,10,-2,-0.7700290577002603,0
8,10,-1,-0.218613532586134,0
8,11,-5,0.17465069860274338,0
8,11,-4,-1.0,0
8,11,-3,-0.925648702594788,0
8,11,-2,-0.26279441117764707,0
8,11,-1,-0.31392714570860175,0
8,12,-5,-0.8318804483187919,0
8,12,-4,-0.7700290577002603,0
8,12,-3,-0.218613532586134,0
8,12,-2,-0.2611498547115103,0
8,12,-1,4.798152760481502,0
8,13,-5,-0.7700290577002603,0
8,13,-4,-0.218613532586134,0
8,13,-3,-0.2611498547115103,0
8,13,-2,4.798152760481502,0
8,13,-1,0.0,0
