order,batch,trial,threshold,harm_weight,a0,vmax,curve,oof_accuracy_mean,oof_accuracy_sd,oof_accuracy_worst,rescues_total,harms_total,net_rescue_total,activation_rate_mean
57,6,7,0.04,1.0,0.3,0.55,sqrt,0.9833500488444769,0.008644640506154011,0.9692307692307692,19,20,-1,0.6547340403907783
58,6,8,0.15,1.0,0.3,0.7,sqrt,0.9833500488444769,0.008644640506154011,0.9692307692307692,19,20,-1,0.3642537295276276
59,6,9,0.02,3.0,0.2,0.55,sqrt,0.9841569924636171,0.008407828508992115,0.9692307692307692,11,15,-4,0.6989475014233166
60,6,10,0.08,3.0,0.15,1.0,squared,0.9847227145324707,0.0077537299619153,0.9714285714285714,11,12,-1,0.4316536814640258
61,7,1,0.06,2.0,0.1,0.55,linear,0.985121557937577,0.007651406372706151,0.9714285714285714,9,7,2,0.54243086411336
62,7,2,0.15,2.0,0.15,0.7,sqrt,0.9851215579375773,0.007320697902990389,0.9736263736263736,11,9,2,0.33710508505415737
63,7,3,0.04,2.0,0.1,0.55,sqrt,0.9851988795180302,0.007673721778407321,0.9714285714285714,10,7,3,0.6267169863688432
64,7,4,0.08,2.0,0.15,0.7,linear,0.9850442363571241,0.007312955203608006,0.9736263736263736,11,10,1,0.4566584932693904
65,7,5,0.06,1.5,0.2,0.4,squared,0.983977878297029,0.009259606449951874,0.967032967032967,14,16,-2,0.5590698303627234
66,7,6,0.04,1.0,0.3,1.0,sqrt,0.9833500488444769,0.008644640506154011,0.9692307692307692,19,20,-1,0.648147710140124
67,7,7,0.02,2.0,0.15,0.55,linear,0.9846331574491766,0.008128800879254756,0.9714285714285714,12,12,0,0.7247641527243984
68,7,8,0.02,1.0,0.3,0.85,squared,0.9833500488444769,0.008644640506154011,0.9692307692307692,19,20,-1,0.7538730231252798
69,7,9,0.02,2.0,0.2,0.55,linear,0.9838232351361229,0.0092316509308298,0.967032967032967,12,16,-4,0.7255740750374523
70,7,10,0.06,1.5,0.15,1.0,linear,0.984865122190536,0.008182585904886568,0.9714285714285714,14,11,3,0.5515189346381089
71,8,1,0.02,1.5,0.2,0.7,linear,0.983977878297029,0.009259606449951874,0.967032967032967,14,16,-2,0.7342234853129028
72,8,2,0.02,3.0,0.15,1.0,squared,0.9847227145324707,0.0077537299619153,0.9714285714285714,11,12,-1,0.6940807595604855
73,8,3,0.06,2.0,0.2,0.4,squared,0.98399011379987,0.008929706096142376,0.967032967032967,11,15,-4,0.5446041953054802
74,8,4,0.06,2.0,0.3,0.7,sqrt,0.9832076411864114,0.00832711646283089,0.967032967032967,13,18,-5,0.5413298483691614
75,8,5,0.06,1.0,0.15,0.85,sqrt,0.9846982435267889,0.008593806024585421,0.9714285714285714,16,13,3,0.5659224623116534
76,8,6,0.08,1.5,0.1,0.7,sqrt,0.9851866440151894,0.008087287093016276,0.9714285714285714,12,7,5,0.4654617484780089
77,8,7,0.08,1.0,0.2,0.7,linear,0.9840551998774821,0.009151231263114809,0.9692307692307692,16,17,-1,0.4795986537260906
78,8,8,0.1,3.0,0.15,0.7,sqrt,0.9846453929520176,0.007749755049853351,0.9714285714285714,10,12,-2,0.3888482774071883
