index,dataset,seed,arm,accuracy,macro_f1,balanced_accuracy,log_loss,rescues,harms,net_rescue,intervention_rate,beacon_lock_rate,beacon_quality_mean,vmax,a0_thrust,brake_start
72,wine,11,homing_vmax_acceleration,1.0,1.0,1.0,0.0935321845089052,0,0,0,0.0,0.8888888888888888,0.700466155838485,0.2,0.0,0.1
73,wine,11,a0_maintenance_thrust,1.0,1.0,1.0,0.0935321845089052,0,0,0,0.0,0.8888888888888888,0.700466155838485,0.2,0.0,0.1
74,wine,11,dynamic_precision_deceleration,1.0,1.0,1.0,0.0932917375939016,0,0,0,0.0,0.8888888888888888,0.700466155838485,0.2,0.0,0.1
75,wine,11,terminal_micro_guidance,1.0,1.0,1.0,0.0932898311534414,0,0,0,0.0,0.8888888888888888,0.700466155838485,0.2,0.0,0.1
76,wine,11,full_laser_homing_beacon_conduit,1.0,1.0,1.0,0.0932898311534414,0,0,0,0.0,0.8888888888888888,0.700466155838485,0.2,0.0,0.1
77,wine,23,adaptive_entry_combi_anchor,1.0,1.0,1.0,0.0861032076578353,0,0,0,0.0,0.8888888888888888,0.7363058446434425,0.2,0.0,0.1
78,wine,23,laser_targeting_lens,1.0,1.0,1.0,0.0847402468544686,0,0,0,0.0,0.8888888888888888,0.7363058446434425,0.2,0.0,0.1
79,wine,23,homing_vmax_acceleration,1.0,1.0,1.0,0.0857534035171973,0,0,0,0.0,0.8888888888888888,0.7363058446434425,0.2,0.0,0.1
80,wine,23,a0_maintenance_thrust,1.0,1.0,1.0,0.0857534035171973,0,0,0,0.0,0.8888888888888888,0.7363058446434425,0.2,0.0,0.1
81,wine,23,dynamic_precision_deceleration,1.0,1.0,1.0,0.0844744705805671,0,0,0,0.0,0.8888888888888888,0.7363058446434425,0.2,0.0,0.1
82,wine,23,terminal_micro_guidance,1.0,1.0,1.0,0.0844551427225363,0,0,0,0.0,0.8888888888888888,0.7363058446434425,0.2,0.0,0.1
83,wine,23,full_laser_homing_beacon_conduit,1.0,1.0,1.0,0.0841647417110951,0,0,0,0.0,0.8888888888888888,0.7363058446434425,0.2,0.0,0.1
84,wine,37,adaptive_entry_combi_anchor,0.9722222222222222,0.974320987654321,0.9761904761904764,0.1299323458213556,0,0,0,0.0,0.7777777777777778,0.6760746830341636,0.2,0.0,0.1
85,wine,37,laser_targeting_lens,0.9722222222222222,0.974320987654321,0.9761904761904764,0.1269988306150199,0,0,0,0.0,0.7777777777777778,0.6760746830341636,0.2,0.0,0.1
86,wine,37,homing_vmax_acceleration,0.9722222222222222,0.974320987654321,0.9761904761904764,0.1296255387268395,0,0,0,0.0,0.7777777777777778,0.6760746830341636,0.2,0.0,0.1
